id,title,arquivo,year,venue_type,idioma,tipo_artigo_detectado,qtd_temas_ementa,max_percentual_match,sobreposicao_tematica_qtd,num_paginas,num_referencias,tamanho_amostra,method_count,stats_count,metrics_count,has_abstract,has_method,has_results,has_limitations_or_threats,has_data_or_code_availability,replicability_score,method_quality_score,pedagogical_fit_score,practicality_score,accessibility_score,bibliographic_quality_score,IQAP,categoria_IQAP,evidencia_curta
7,A Survey of Controlled Experiments,A Survey of Controlled Experiments in Software Engineering..pdf,2002.0,conference,EN,revisao,14.0,80.0,4.0,21.0,52.0,100.0,5,1,0,True,True,False,False,False,0.65,0.52,0.9,0.2,0.925,0.569,0.638,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A Survey of Controlled Experiments in Software Engineering..pdf'
54,Source Code Metrics for Software Defects Prediction,Source Code Metrics for Software Defects Prediction.pdf,2023.0,conference,EN,empirico,4.0,40.0,4.0,6.0,30.0,39.0,4,12,11,True,True,False,False,True,0.863,0.595,0.543,0.7,0.248,0.802,0.637,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Source Code Metrics for Software Defects Prediction.pdf'
62,Towards Improving Experimentation in Software Engineering,Towards Improving Experimentation in Software Engineering.pdf,2021.0,conference,EN,empirico,18.0,80.0,2.0,6.0,20.0,2.0,3,1,0,True,True,False,False,False,0.575,0.326,0.84,0.55,0.863,0.728,0.632,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Towards Improving Experimentation in Software Engineering.pdf'
1,A Conceptual Model to Support Teaching of Software Engineering Controlled (Quasi-)Experiments,A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf,2023.0,conference,EN,empirico,7.0,60.0,2.0,10.0,30.0,78.0,3,0,0,True,True,False,False,False,0.462,0.417,0.77,0.55,0.96,0.802,0.627,bom,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf'
41,On the Relationship Between Story Points and Development Effort in Agile Open-Source Software,On the Relationship Between Story Points and DevelopmentEffort in Agile Open-Source Software.pdf,,conference,EN,teorico,14.0,50.0,6.0,12.0,58.0,44.0,2,10,2,False,True,False,False,False,0.75,0.602,0.675,0.35,0.16,0.788,0.586,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\On the Relationship Between Story Points and DevelopmentEffort in Agile Open-Source Software.pdf'
28,Evidence is All We Need: Do Self-Admitted Technical Debts Impact Method-Level Maintenance?,Evidence_is_All_We_Need_Do_Self-Admitted_Technical_Debts_Impact_Method-Level_Maintenance.pdf,,,EN,empirico,5.0,40.0,2.0,13.0,89.0,49.0,1,7,2,True,True,False,False,False,0.75,0.544,0.517,0.7,0.515,0.35,0.579,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Evidence_is_All_We_Need_Do_Self-Admitted_Technical_Debts_Impact_Method-Level_Maintenance.pdf'
22,An Empirical Investigation of Factors Causing Scope Creep in Agile Global Software Development Context: A Conceptual Model for Project Managers,An_Empirical_Investigation_of_Factors_Causing_Scop.pdf,2021.0,journal,EN,empirico,1.0,33.3,0.0,34.0,96.0,305.0,3,1,0,True,True,False,False,False,0.65,0.54,0.3,0.55,0.863,0.962,0.578,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\An_Empirical_Investigation_of_Factors_Causing_Scop.pdf'
13,A machine learning approach to vulnerability detection combining software metrics and topic modelling: Evidence from smart contracts,A machine learning approach to vulnerability detection combining software.pdf,2014.0,journal,EN,propositivo,4.0,40.0,4.0,18.0,112.0,74.0,2,8,3,False,True,False,False,False,0.75,0.624,0.543,0.35,0.23,0.908,0.577,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A machine learning approach to vulnerability detection combining software.pdf'
40,On Wasted Contributions: Understanding the Dynamics,On Wasted Contributions Understanding the Dynamics of Contributor-Abandoned Pull Requests–A Mixed-Methods Study of 10 Large Open-Source Projects.pdf,2023.0,journal,EN,empirico,1.0,33.3,3.0,39.0,82.0,7.0,3,7,0,False,True,False,False,False,0.65,0.618,0.39,0.55,0.202,0.977,0.551,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\On Wasted Contributions Understanding the Dynamics of Contributor-Abandoned Pull Requests–A Mixed-Methods Study of 10 Large Open-Source Projects.pdf'
44,Quality of AI-Generated vs. Human-Generated Code,Quality_of_AI-Generated_vs._Human-Generated_Code.pdf,,,EN,empirico,4.0,40.0,9.0,6.0,16.0,5.0,2,3,1,True,True,False,False,False,0.66,0.352,0.573,0.7,0.793,0.093,0.539,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Quality_of_AI-Generated_vs._Human-Generated_Code.pdf'
61,Proceedings Template - WORD,Top Challenges from the first Practical Online Controlled Experiments Summit.pdf,2019.0,,EN,empirico,7.0,60.0,0.0,16.0,77.0,0.0,2,5,0,True,True,False,False,False,0.5,0.483,0.71,0.35,0.585,0.496,0.535,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Top Challenges from the first Practical Online Controlled Experiments Summit.pdf'
63,Unlocking inclusive education: A quality assessment of software design in applications for children with autism,Unlocking inclusive education A quality assessment of software design in applications for children with autism.pdf,2019.0,journal,EN,propositivo,14.0,50.0,0.0,14.0,165.0,295.0,1,1,0,False,True,False,False,False,0.65,0.407,0.525,0.2,0.675,0.946,0.535,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Unlocking inclusive education A quality assessment of software design in applications for children with autism.pdf'
15,ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics,ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf,2026.0,,EN,teorico,14.0,50.0,1.0,35.0,56.0,5.0,1,5,1,False,True,False,False,False,0.75,0.465,0.555,0.35,0.272,0.727,0.534,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf'
3,A Large-Scale Empirical Study of AI-Generated Code in Real-World Repositories,A Large-Scale Empirical Study of AI-Generated Code in.pdf,2026.0,conference,EN,empirico,0.0,0.0,3.0,12.0,43.0,31.0,1,5,1,True,True,False,False,False,0.75,0.487,0.09,0.7,0.585,0.901,0.523,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A Large-Scale Empirical Study of AI-Generated Code in.pdf'
10,"Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in",A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf,2013.0,conference,EN,empirico,14.0,75.0,0.0,12.0,68.0,0.0,0,6,0,True,False,False,False,False,0.3,0.35,0.762,0.35,0.55,0.9,0.518,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf'
11,A Tool‐Based Perspective on Software Code Maintainability Metrics: A Systematic Literature Review,A Tool-Based Perspective on Software Code Maintainability Metrics A Systematic Literature Review.pdf,2020.0,conference,EN,revisao,5.0,40.0,1.0,26.0,73.0,0.0,1,4,1,False,True,False,False,False,0.6,0.377,0.487,0.3,0.508,0.954,0.508,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A Tool-Based Perspective on Software Code Maintainability Metrics A Systematic Literature Review.pdf'
2,"Technical Report, Simula Research Laboratory, number 2011-13",A Hitchhiker's guide to statistical tests for assessing randomized algorithms in software engineering.pdf,2011.0,report,EN,empirico,1.0,33.3,5.0,29.0,110.0,2.0,2,10,0,True,True,False,False,False,0.65,0.519,0.45,0.55,0.348,0.435,0.507,regular,"__PDF_READ_ERROR__ [Errno 2] No such file or directory: ""C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A Hitchhiker's guide to statistical tests for assessing randomized algorithms in software engineering.pdf"""
6,2-815-A Study on Software Metrics and its Impact on Software Quality.cdr,A Study on Software Metrics and its Impact on Software Quality.pdf,,journal,EN,empirico,4.0,40.0,1.0,14.0,55.0,0.0,1,1,2,True,True,False,False,False,0.6,0.244,0.453,0.5,0.925,0.571,0.507,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A Study on Software Metrics and its Impact on Software Quality.pdf'
9,A Tale of Two Cities: Software Developers Working from,A Tale of Two Cities Software Developers Working fromHome during the COVID-19 Pandemic.pdf,2021.0,journal,EN,empirico,0.0,0.0,1.0,37.0,71.0,500.0,2,7,1,False,True,False,False,False,0.75,0.633,0.03,0.7,0.202,0.962,0.506,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A Tale of Two Cities Software Developers Working fromHome during the COVID-19 Pandemic.pdf'
56,Techniques for Calculating Software Product Metrics Threshold Values: A Systematic Mapping Study,Techniques for Calculating Software Product Metrics Threshold Values A Systematic Mapping Study.pdf,2021.0,journal,EN,revisao,4.0,40.0,1.0,25.0,200.0,0.0,1,3,1,True,True,False,False,False,0.6,0.337,0.453,0.15,0.855,0.962,0.505,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Techniques for Calculating Software Product Metrics Threshold Values A Systematic Mapping Study.pdf'
35,LLM4DS: Evaluating Large Language Models for,LLM4DS Evaluating Large Language Models for Data Science Code Generation.pdf,,,EN,empirico,3.0,40.0,1.0,11.0,21.0,100.0,5,6,0,True,True,False,False,False,0.579,0.603,0.42,0.55,0.55,0.122,0.491,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\LLM4DS Evaluating Large Language Models for Data Science Code Generation.pdf'
24,Application of Statistical Methods in Software Engineering: Theory and Practice,Application of Statistical Methods in Software Engineering Theory and Practice.pdf,,preprint,EN,empirico,11.0,50.0,4.0,23.0,41.0,0.0,1,11,0,True,True,False,False,False,0.5,0.369,0.795,0.35,0.41,0.239,0.49,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Application of Statistical Methods in Software Engineering Theory and Practice.pdf'
48,Software Development and Maintenance Effort Estimation Using Function Points and Simpler Functional Measures,Software Development and Maintenance Effort Estimation Using Function Points and Simpler Functional Measures.pdf,2024.0,journal,EN,teorico,0.0,0.0,1.0,31.0,94.0,1307.0,1,3,1,True,True,False,False,False,0.75,0.487,0.03,0.35,0.793,0.985,0.485,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Software Development and Maintenance Effort Estimation Using Function Points and Simpler Functional Measures.pdf'
5,A Review and Analysis of Software Complexity Metrics in Structural Testing,A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf,,conference,EN,teorico,5.0,60.0,7.0,5.0,17.0,0.0,0,1,5,True,False,True,False,False,0.314,0.232,0.827,0.3,0.863,0.349,0.482,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf'
4,A Quality Model-based Approach for Measuring User Interface Aesthetics with Grace,A Quality Model-based Approach for Measuring UserInterface Aesthetics with Grace.pdf,2023.0,,EN,empirico,0.0,0.0,1.0,47.0,106.0,88.0,1,3,1,False,True,False,False,False,0.75,0.483,0.03,0.7,0.468,0.727,0.478,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A Quality Model-based Approach for Measuring UserInterface Aesthetics with Grace.pdf'
34,Undertaking systematic reviews,"Kitchenham, B. Guidelines for performing Systematic Literature Reviews in software engineering. EBSE Technical Report EBSE-2007-01.pdf",2007.0,report,EN,revisao,14.0,50.0,1.0,65.0,29.0,10.0,2,3,0,False,True,False,False,False,0.609,0.404,0.705,0.2,0.468,0.223,0.478,regular,"__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Kitchenham, B. Guidelines for performing Systematic Literature Reviews in software engineering. EBSE Technical Report EBSE-2007-01.pdf'"
42,Process metrics for software defect prediction in object‐oriented programs,Process metrics for software defectprediction in object-oriented programs.pdf,2018.0,,EN,teorico,4.0,40.0,4.0,10.0,57.0,0.0,1,8,3,True,True,False,False,False,0.6,0.409,0.543,0.15,0.48,0.671,0.475,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Process metrics for software defectprediction in object-oriented programs.pdf'
27,Evaluation of Software Product Quality Metrics,Evaluation of Software Product Quality Metrics.pdf,2009.0,preprint,EN,propositivo,4.0,40.0,4.0,24.0,1993.0,0.0,0,3,3,True,False,True,False,False,0.4,0.42,0.543,0.3,0.855,0.419,0.472,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Evaluation of Software Product Quality Metrics.pdf'
52,"Received 20 August 2023, accepted 31 August 2023, date of publication 7 September 2023, date of current version 15 September 2023.",Software_Cost_and_Effort_Estimation_Current_Approaches_and_Future_Trends.pdf,2023.0,,EN,propositivo,1.0,33.3,1.0,21.0,121.0,0.0,2,3,1,True,True,False,False,False,0.6,0.403,0.33,0.15,0.855,0.727,0.464,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Software_Cost_and_Effort_Estimation_Current_Approaches_and_Future_Trends.pdf'
17,A Framework for Automating the Measurement of DevOps Research and Assessment (DORA) Metrics,A_Framework_for_Automating_the_Measurement_of_DevOps_Research_and_Assessment_DORA_Metrics.pdf,,book,EN,empirico,0.0,0.0,0.0,11.0,30.0,304.0,2,1,3,True,True,False,False,False,0.712,0.398,0.0,0.85,0.925,0.175,0.46,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A_Framework_for_Automating_the_Measurement_of_DevOps_Research_and_Assessment_DORA_Metrics.pdf'
32,Microsoft Word - 725final,Impact_of_CMMI_based_software_process_maturity_on_.pdf,2008.0,journal,EN,propositivo,2.0,50.0,0.0,10.0,34.0,161.0,0,1,1,True,False,False,False,False,0.528,0.275,0.392,0.35,0.925,0.51,0.454,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Impact_of_CMMI_based_software_process_maturity_on_.pdf'
18,A study of component based software system metrics,A_study_of_component_based_software_system_metrics.pdf,2016.0,conference,EN,empirico,4.0,40.0,6.0,5.0,18.0,0.0,1,0,2,True,True,False,False,False,0.368,0.112,0.573,0.5,0.898,0.478,0.452,regular,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A_study_of_component_based_software_system_metrics.pdf'
43,Quality Metrics in Agile Software Development Projects,Quality_metrics_in_Agile_Software_Development_Proj.pdf,2018.0,,EN,propositivo,4.0,40.0,6.0,6.0,20.0,0.0,2,1,1,True,True,False,False,False,0.525,0.223,0.573,0.15,0.863,0.455,0.447,fraco,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Quality_metrics_in_Agile_Software_Development_Proj.pdf'
14,A preliminary GQM model to evaluate web API,A preliminary GQM model to evaluate web API usability.pdf,,,EN,empirico,0.0,0.0,3.0,13.0,66.0,16.0,2,1,0,True,True,False,False,False,0.65,0.415,0.09,0.55,0.925,0.35,0.446,fraco,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\A preliminary GQM model to evaluate web API usability.pdf'
64,Unveiling Hybrid Cyclomatic Complexity: A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models,Unveiling Hybrid Cyclomatic Complexity A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models.pdf,2025.0,preprint,EN,propositivo,4.0,40.0,5.0,23.0,21.0,0.0,0,5,2,True,False,True,False,False,0.329,0.402,0.573,0.3,0.585,0.315,0.425,fraco,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Unveiling Hybrid Cyclomatic Complexity A Comprehensive Analysis and Evaluation as an Integral Feature in Automatic Defect Prediction Models.pdf'
53,Software Metrics Classification for Agile Scrum Process: A Literature Review,Software_Metrics_Classification_for_Agile_Scrum_Process_A_Literature_Review.pdf,,,EN,revisao,4.0,40.0,6.0,6.0,29.0,0.0,1,1,1,True,True,False,False,False,0.559,0.179,0.573,0.15,0.863,0.169,0.417,fraco,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Software_Metrics_Classification_for_Agile_Scrum_Process_A_Literature_Review.pdf'
55,THE GOAL QUESTION METRIC APPROACH,THE GOAL QUESTION METRIC APPROACH.pdf,,,EN,propositivo,2.0,50.0,1.0,10.0,0.0,5.0,3,1,2,False,True,False,False,False,0.6,0.298,0.422,0.35,0.675,0.0,0.405,fraco,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\THE GOAL QUESTION METRIC APPROACH.pdf'
47,SOFTWARE CODE QUALITY MEASUREMENT: IMPLICATIONS FROM,SOFTWARE CODE QUALITY MEASUREMENT IMPLICATIONS FROM METRIC DISRIBUTIONS.pdf,2024.0,preprint,EN,empirico,1.0,33.3,1.0,12.0,34.0,0.0,1,1,0,True,True,False,False,False,0.477,0.192,0.33,0.35,0.925,0.383,0.4,fraco,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\SOFTWARE CODE QUALITY MEASUREMENT IMPLICATIONS FROM METRIC DISRIBUTIONS.pdf'
65,Web System for Metrics Control applying the GQM Method in a Software Development Center,WEB_SYSTEM_FOR_METRICS_CONTROL_APPLYING_THE_GQM_ME.pdf,2025.0,,PT,propositivo,4.0,40.0,1.0,10.0,12.0,22.0,2,0,0,False,True,False,False,False,0.395,0.265,0.453,0.2,0.75,0.462,0.397,fraco,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\WEB_SYSTEM_FOR_METRICS_CONTROL_APPLYING_THE_GQM_ME.pdf'
39,Metrics in Large-Scale Agile Software Development: A,Metrics in Large-Scale Agile Software Development A Multivocal Literature Review.pdf,2021.0,,EN,revisao,5.0,40.0,5.0,15.0,0.0,0.0,1,1,5,True,True,False,False,False,0.45,0.107,0.607,0.15,0.925,0.162,0.394,fraco,__PDF_READ_ERROR__ [Errno 2] No such file or directory: 'C:\\Users\\JOAOPEDRO\\Documents\\GitHub\\3d-relationship-graph\\data\\raw\\artigos\\Metrics in Large-Scale Agile Software Development A Multivocal Literature Review.pdf'
