"id","title","article_authors","cohort","year","arquivo","areas_pesquisa","metodologia","metricas_mencionadas","metodos_estatisticos","venue","venue_type","citations","num_referencias","n_references","alignment_score","alignment_nivel","temas_ementa","qtd_temas_ementa","max_score_relevancia","max_percentual_match","relacao_disciplina_proxy","alinhado_plano_proxy","replicabilidade_proxy","natureza_artigo_proxy","nivel_aluno_proxy","qualidade_proxy","prestige_score","pagerank_centrality","community_id","rubric_score","arqi_equal","arqi_pca","arqi_no_prestige","replicavel","pratico_teorico","nivel_aluno","agregou","relacao_disciplina","alinhado_plano","artigos_relacionados","sobreposicao_tematica_qtd","evidencias_extraidas","pendencias"
"14","A preliminary GQM model to evaluate web API","","","","A preliminary GQM model to evaluate web API usability.pdf","Qualidade de Software","Survey/Questionário; GQM","","Precisão/Recall/F1","","","","66","66","","baixo","","0","0","0.0","nao_detectada","baixo","0-nao_detectada","misto","basico_intermediario","alta_proxy_local","","","","","","","","","","","","","","4:A Quality Model-based Approach for Measuring User Interface Aesthetics; 44:Quality of AI-Generated vs. Human-Generated Code; 18:A study of component based software system metrics","3","A preliminary GQM model to evaluate web API usability⋆ Ariel Machini1[0000−0002−2589−8182] and Sandra Casas2 1 Centro de Investigaciones y Transferencias Santa Cruz, R´ıo Gallegos, Argentina 2 GISP, Universidad Nacional de la Patagonia Austral, R´ıo Gallegos, Argentina Abstract. Web APIs allow easy access to a variety of resources and ser- vices, a","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","Zekun Zhang, Jian Wang, Bing Li, Liuxiaoxiao Zhang, Yu Liu, Patrick Hung","","2026","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","Engenharia de Software (Geral)","Machine Learning","MTTR","Bootstrap; Bayesiana; Descritiva; SVM; Precisão/Recall/F1","","","","56","56","","medio","Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de processo; Métricas de projeto; Processos e técnicas de medição; Identificação, organização e validação de métricas de software","14","2","33.3","indireta","sim","2-alta","misto","avancado","media_proxy_local","","","","","","","","","","","","","","60:The role of measurement uncertainty in the validation of a measurement","1","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics ZEKUN ZHANG, School of computer science, Wuhan University, Wuhan, China JIAN WANG, School of Computer Science, Wuhan University, Wuhan, China and Zhongguancun Laboratory, Beijing, China BING LI, School of Computer Science, Wuhan University, Wuhan, China and Zhongguancun Labora","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"16","Microsoft Word - FinalPrint07.doc","eric.ferreira","","2002","ARTIGO_Definição de um processo de medição de software baseado em Seis Sigma e CMMI.pdf","Manutenção de Software; Processo de Software","","","Precisão/Recall/F1","","","","0","0","","medio","Métricas de processo; Processo de experimentação","2","2","40.0","indireta","sim","0-nao_detectada","teorico_propositivo","basico_intermediario","baixa_proxy_local","","","","","","","","","","","","","","37:Sigmae, Alfenas, v.11, n.2, p. 21-35, 2022.; 49:Microsoft Word - Software Process Measurement and Related Challenges i","2","ISSN: 2317-0840 Sigmae, Alfenas, v.3, n.1, p. 26-35, 2014. Definição de um processo de medição de software baseado em Seis Sigma e CMMI Rafael V. M. Santos1†, Marcelo S. Oliveira2, Eric B. Ferreira3, Sabrina B. Vargas4, Eros E. Moura1 1 Instituto Federal do Espírito Santo (IFES) 2 Professor Associado IV, Departamento de Ciências Exatas, U","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"17","A Framework for Automating the Measurement of DevOps Research and Assessment (DORA) Metrics","","","","A_Framework_for_Automating_the_Measurement_of_DevOps_Research_and_Assessment_DORA_Metrics.pdf","Métodos Ágeis; DevOps/CI-CD","Survey/Questionário; Proposta de Framework","Lead Time; DORA Metrics; MTTR","Bayesiana","","book","","30","30","","baixo","","0","0","0.0","nao_detectada","baixo","2-alta","misto","intermediario","alta_proxy_local","","","","","","","","","","","","","","","0","A Framework for Automating the Measurement of DevOps Research and Assessment (DORA) Metrics Brennan Wilkes University of Victoria Victoria, Canada brennan@codexwilkes.com Alessandra Maciel Paz Milani University of Victoria Victoria, Canada amilani@uvic.ca Margaret-Anne Storey University of Victoria Victoria, Canada mstorey@uvic.ca Abstract—The DevO","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"18","A study of component based software system metrics","","","2016","A_study_of_component_based_software_system_metrics.pdf","Métricas de Software; Qualidade de Software; Manutenção de Software; Produtividade","Survey/Questionário","Coupling/Acoplamento; Cohesion/Coesão","","","conference","","18","18","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","0-nao_detectada","misto","basico_intermediario","media_proxy_local","","","","","","","","","","","","","","25:arXiv:2310.03673v2 [cs.SE] 7 Jun 2024; 27:Evaluation of Software Product Quality Metrics; 14:A preliminary GQM model to evaluate web API; 6:2-815-A Study on Software Metrics and its Impact on Software Quality.c; 65:Web System for Metrics Control applying the GQM Method in a Software D","6","International Conference on Computing, Communication and Automation (ICCCA2016) ISBN:978-1-5090-1666-2/16/$31.00 ©2016 IEEE 824 A Study of Component Based Software System Metrics Sakshi Patel, Jagdeep Kaur Department of CSE &IT The NorthCap University Gurgaon 122017, India sakshi.smk@gmail.com, jagdeep@ncuindia.edu","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"19","Adjustment Level Metrics for Requirements in Project Management","","","2021","Adjustment_Level_Metrics_for_Requirements_in_Project_Management.pdf","Métodos Ágeis; Gerenciamento de Projetos","Estudo de Caso; Proposta de Framework","","","","conference","","0","0","","baixo","","0","0","0.0","nao_detectada","baixo","0-nao_detectada","misto","intermediario","baixa_proxy_local","","","","","","","","","","","","","","43:Quality Metrics in Agile Software Development Projects; 53:Software Metrics Classification for Agile Scrum Process: A Literature ","2","2021 8th International Conference on Soft Computing & Machine Intelligence (ISCMI) | 978-1-7281-8683-2/21/$31.00 ©2021 IEEE | DOI: 10.1109/ISCMI53840.2021.9654823 2021 8th Inti. Conference on Soft Computing & Machine Intelligence Adjustment Level Metrics for Requirements in Project Management Patricia R. Cristaldo GIBD National Technological Unive","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","Marvin Muñoz Barón, Marvin Wyrich, and Stefan Wagner","","2020","An Empirical Validation of Cognitive Complexity as a Measure.pdf","Métricas de Software; Engenharia de Software Empírica","Meta-análise","LOC/SLOC; Complexidade Ciclomática; Complexidade Cognitiva","Correlação de Pearson; Effect Size; Precisão/Recall/F1","IEEE International Symposium on Empirical Software Engineering and Measurement","conference","","44","44","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software; Análise de resultados de experimentos; Nivelamento e revisão de fundamentos de engenharia de software","18","3","60.0","direta","sim","2-alta","misto","avancado","alta_proxy_local","","","","","","","","","","","","","","5:A Review and Analysis of Software Complexity Metrics in Structural Tes; 64:Unveiling Hybrid Cyclomatic Complexity: A Comprehensive Analysis and E; 42:Process metrics for software defect prediction in object‐oriented prog; 3:A Large-Scale Empirical Study of AI-Generated Code in Real-World Repos; 13:A machine learning approach to vulnerability detection combining softw","6","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability Marvin Muñoz Barón University of Stuttgart Stuttgart, Germany st141535@stud.uni-stuttgart.de Marvin Wyrich University of Stuttgart Stuttgart, Germany marvin.wyrich@iste.uni-stuttgart.de Stefan Wagner University of Stuttgart Stuttgart, Germany stefan.wagner","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"21","An External Replication on the Effects of Test-driven","","","","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","Qualidade de Software; Teste de Software; Experimentação; Métodos Ágeis; Produtividade","Revisão Sistemática; Experimento Controlado; Survey/Questionário; Meta-análise; Replicação","","Mann-Whitney; Kruskal-Wallis; Correlação de Pearson; Descritiva; Box Plot; Precisão/Recall/F1","","conference","","45","45","","medio","Planejamento de experimento; Execução de experimento; Análise de resultados de experimentos; Nivelamento e revisão de fundamentos de engenharia de software; Distribuições de probabilidade; Testes de hipótese","12","3","60.0","direta","sim","1-parcial","misto","avancado","alta_proxy_local","","","","","","","","","","","","","","24:Application of Statistical Methods in Software Engineering: Theory and; 59:The effects of change decomposition on code review-a controlled experi; 2:Technical Report, Simula Research Laboratory, number 2011-13; 38:Metrics for Evaluating and Improving Transparency in Software Engineer; 46:Empir Software Eng (2017) 22:579–630","5","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach Davide Fucci M-Group, University of Oulu Oulu, Finland davide.fucci@oulu.ﬁ Giuseppe Scanniello University of Basilicata Potenza, Italy giuseppe.scanniello@unibas.it Simone Romano University of Basilicata Potenza, Italy simone.romano@unibas.i","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"22","An Empirical Investigation of Factors Causing Scope Creep in Agile Global Software Development Context: A Conceptual Model for Project Managers","","","2021","An_Empirical_Investigation_of_Factors_Causing_Scop.pdf","Métodos Ágeis; Gerenciamento de Projetos","Revisão Sistemática; Estudo de Caso; Estudo Empírico","","Correlação de Spearman","","journal","","96","96","","medio","Nivelamento e revisão de fundamentos de engenharia de software","1","2","33.3","indireta","sim","1-parcial","misto","basico_intermediario","alta_proxy_local","","","","","","","","","","","","","","","0","This work is licensed under a Creative Commons Attribution 4.0 License. For more information, see https://creativecommons.org/licenses/by/4.0/ This article has been accepted for publication in a future issue of this journal, but has not been fully edited. Content may change prior to final publication. Citation information: DOI 10.1109/ACCESS.2021.3","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","","","","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","Engenharia de Software (Geral)","","","Box Plot","","thesis","","0","0","","medio","Nivelamento e revisão de fundamentos de engenharia de software; Métricas de produto; Métricas de processo; Métricas de projeto; Processos e técnicas de medição; Identificação, organização e validação de métricas de software","14","2","33.3","indireta","sim","2-alta","misto","basico_intermediario","baixa_proxy_local","","","","","","","","","","","","","","57:The Experimental Paradigm in Software Engeneering","1","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na Aplicac¸˜ao de Diferentes Pr´aticas de Observabilidade em Ambientes com Hardware Limitado Gabriel Augusto Souza Borges1 1Instituto de Ciˆencias Exatas e Inform´atica – PUC Minas Rua Claudio Manoel, 1162 – Belo Horizonte – MG – Brasil gabriel.borges@sga.pucminas.br Abstract. Observability is","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"24","Application of Statistical Methods in Software Engineering: Theory and Practice","Tassio Sirqueira, Marcos Miguel, Humberto Dalpra, Marco Antônio Araújo, José Maria David","","","Application of Statistical Methods in Software Engineering Theory and Practice.pdf","Experimentação","Análise Estatística","","Teste t; Mann-Whitney; ANOVA; Kruskal-Wallis; Correlação de Pearson; Shapiro-Wilk; Kolmogorov-Smirnov; Descritiva; Box Plot; Teste de Normalidade; Precisão/Recall/F1","","preprint","","41","41","","medio","Análise de resultados de experimentos; Distribuições de probabilidade; Testes de hipótese; Análise multivariada; Atividades avaliativas; Estratégias de experimentação","11","3","50.0","direta","sim","1-parcial","misto","avancado","alta_proxy_local","","","","","","","","","","","","","","46:Empir Software Eng (2017) 22:579–630; 21:An External Replication on the Effects of Test-driven; 2:Technical Report, Simula Research Laboratory, number 2011-13; 28:Evidence is All We Need: Do Self-Admitted Technical Debts Impact Metho","4","Sirqueira et al. Application of Statistical Methods in Software Engineering: Theory and Practice Tassio Sirqueira1,2*, Marcos Miguel1, Humberto Dalpra1, Marco Antônio Araújo1,2,3 and José Maria David1 *Correspondence: tassio@tassio.eti.br 1University Center Academia (UniAcademia), R. Halfeld, 1179 - Centro, 36016-000 Juiz de Fora, Brazil Full list","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"25","arXiv:2310.03673v2 [cs.SE] 7 Jun 2024","","","2024","Do Internal Software Metrics Have Relationship with Fault-proneness and Change-proneness.pdf","Métricas de Software; Qualidade de Software; Manutenção de Software; Predição de Defeitos","Estudo Empírico","LOC/SLOC; Coupling/Acoplamento; Cohesion/Coesão","Correlação de Spearman","","preprint","","18","18","","medio","Métricas de produto; Métricas de processo; Métricas de projeto; Identificação, organização e validação de métricas de software","4","2","40.0","indireta","sim","2-alta","pratico_empirico","intermediario","media_proxy_local","","","","","","","","","","","","","","18:A study of component based software system metrics; 27:Evaluation of Software Product Quality Metrics","2","arXiv:2310.03673v2 [cs.SE] 7 Jun 2024 Do Internal Sofware Metrics Have Relationship with Fault-proneness and Change-proneness? Md. Masudur Rahman∗ Institute of Information Technology, University of Dhaka Dhaka, Bangladesh bit0413@iit.du.ac.bd Toukir Ahammed Institute of Information Technology, University of Dhaka Dhaka, Bangladesh toukir@iit.du.a","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
"26","Evaluation metrics and statistical tests for machine learning","Oona Rainio","","2024","Evaluation metrics and statistical tests for machine learning.pdf","Inteligência Artificial/ML","Machine Learning","Complexidade Ciclomática","Teste t; Mann-Whitney; Wilcoxon; Correlação de Pearson; Correlação de Spearman; K-fold/Cross-validation; ROC/AUC; Precisão/Recall/F1","","","","123","123","","baixo","","0","0","0.0","nao_detectada","baixo","2-alta","misto","avancado","media_proxy_local","","","","","","","","","","","","","","","0","1 Vol.:(0123456789) Scientific Reports | (2024) 14:6086 | https://doi.org/10.1038/s41598-024-56706-x www.nature.com/scientificreports Evaluation metrics and statistical tests for machine learning Oona Rainio *, Jarmo Teuho & Riku Klén Research on different machine learning (ML) has become incredibly popular during the past few decad","cohort; citations; alignment_score; arqi_equal; corpus_incompleto"
