"artigo_id","artigo_titulo","artigo_arquivo","ementa_id","ementa_topico","score_relevancia","total_temas","percentual_match"
"5","A Review and Analysis of Software Complexity Metrics in Structural Testing","A Review and Analysis of Software Complexity Metrics in Structural Testing.pdf","4","Métricas de processo","3","5","60.0"
"59","The effects of change decomposition on code review-a controlled experiment","The effects of change decomposition on code review --a controlled experiment.pdf","15","Planejamento de experimento","3","5","60.0"
"59","The effects of change decomposition on code review-a controlled experiment","The effects of change decomposition on code review --a controlled experiment.pdf","16","Execução de experimento","3","5","60.0"
"61","Proceedings Template - WORD","Top Challenges from the first Practical Online Controlled Experiments Summit.pdf","15","Planejamento de experimento","3","5","60.0"
"61","Proceedings Template - WORD","Top Challenges from the first Practical Online Controlled Experiments Summit.pdf","16","Execução de experimento","3","5","60.0"
"62","Towards Improving Experimentation in Software Engineering","Towards Improving Experimentation in Software Engineering.pdf","13","Estratégias de experimentação","3","4","75.0"
"62","Towards Improving Experimentation in Software Engineering","Towards Improving Experimentation in Software Engineering.pdf","14","Processo de experimentação","3","4","75.0"
"62","Towards Improving Experimentation in Software Engineering","Towards Improving Experimentation in Software Engineering.pdf","18","Apresentação de resultados experimentais","3","6","50.0"
"62","Towards Improving Experimentation in Software Engineering","Towards Improving Experimentation in Software Engineering.pdf","19","Provas e atividades avaliativas","3","6","50.0"
"66","What's DAT? Three Case Studies of Measuring Software Development Productivity at Meta With Diff Authoring Time","Whats DAT Three Case Studies of Measuring Software.pdf","15","Planejamento de experimento","3","5","60.0"
"66","What's DAT? Three Case Studies of Measuring Software Development Productivity at Meta With Diff Authoring Time","Whats DAT Three Case Studies of Measuring Software.pdf","16","Execução de experimento","3","5","60.0"
"7","A Survey of Controlled Experiments","A Survey of Controlled Experiments in Software Engineering..pdf","3","Métricas de produto","3","5","60.0"
"7","A Survey of Controlled Experiments","A Survey of Controlled Experiments in Software Engineering..pdf","4","Métricas de processo","3","5","60.0"
"7","A Survey of Controlled Experiments","A Survey of Controlled Experiments in Software Engineering..pdf","5","Métricas de projeto","3","5","60.0"
"7","A Survey of Controlled Experiments","A Survey of Controlled Experiments in Software Engineering..pdf","7","Identificação, organização e validação de métricas de software","3","7","42.9"
"7","A Survey of Controlled Experiments","A Survey of Controlled Experiments in Software Engineering..pdf","13","Estratégias de experimentação","3","4","75.0"
"7","A Survey of Controlled Experiments","A Survey of Controlled Experiments in Software Engineering..pdf","14","Processo de experimentação","3","4","75.0"
"7","A Survey of Controlled Experiments","A Survey of Controlled Experiments in Software Engineering..pdf","17","Análise de resultados de experimentos","3","6","50.0"
"7","A Survey of Controlled Experiments","A Survey of Controlled Experiments in Software Engineering..pdf","18","Apresentação de resultados experimentais","3","6","50.0"
"7","A Survey of Controlled Experiments","A Survey of Controlled Experiments in Software Engineering..pdf","19","Provas e atividades avaliativas","3","6","50.0"
"1","A Conceptual Model to Support Teaching of Software Engineering Controlled (Quasi-)Experiments","A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf","13","Estratégias de experimentação","2","4","50.0"
"1","A Conceptual Model to Support Teaching of Software Engineering Controlled (Quasi-)Experiments","A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf","14","Processo de experimentação","2","4","50.0"
"1","A Conceptual Model to Support Teaching of Software Engineering Controlled (Quasi-)Experiments","A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf","17","Análise de resultados de experimentos","2","6","33.3"
"1","A Conceptual Model to Support Teaching of Software Engineering Controlled (Quasi-)Experiments","A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf","18","Apresentação de resultados experimentais","2","6","33.3"
"1","A Conceptual Model to Support Teaching of Software Engineering Controlled (Quasi-)Experiments","A Conceptual Model to Support Teaching of SoftwareEngineering Controlled (Quasi-)Experiments.pdf","19","Provas e atividades avaliativas","2","6","33.3"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","2","Nivelamento e revisão de fundamentos de engenharia de software","2","6","33.3"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","3","Métricas de produto","2","5","40.0"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","5","Métricas de projeto","2","5","40.0"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","6","Processos e técnicas de medição","2","5","40.0"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","7","Identificação, organização e validação de métricas de software","2","7","28.6"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","8","Prova e atividades avaliativas","2","6","33.3"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","13","Estratégias de experimentação","2","4","50.0"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","15","Planejamento de experimento","2","5","40.0"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","16","Execução de experimento","2","5","40.0"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","17","Análise de resultados de experimentos","2","6","33.3"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","18","Apresentação de resultados experimentais","2","6","33.3"
"10","Full citation: Bosu, M.F., & MacDonell, S.G. (2013) A taxonomy of data quality challenges in","A Taxonomy of Data Quality Challenges in Empirical Software Engineering.pdf","19","Provas e atividades avaliativas","2","6","33.3"
"11","A Tool‐Based Perspective on Software Code Maintainability Metrics: A Systematic Literature Review","A Tool-Based Perspective on Software Code Maintainability Metrics A Systematic Literature Review.pdf","2","Nivelamento e revisão de fundamentos de engenharia de software","2","6","33.3"
"11","A Tool‐Based Perspective on Software Code Maintainability Metrics: A Systematic Literature Review","A Tool-Based Perspective on Software Code Maintainability Metrics A Systematic Literature Review.pdf","3","Métricas de produto","2","5","40.0"
"11","A Tool‐Based Perspective on Software Code Maintainability Metrics: A Systematic Literature Review","A Tool-Based Perspective on Software Code Maintainability Metrics A Systematic Literature Review.pdf","4","Métricas de processo","2","5","40.0"
"11","A Tool‐Based Perspective on Software Code Maintainability Metrics: A Systematic Literature Review","A Tool-Based Perspective on Software Code Maintainability Metrics A Systematic Literature Review.pdf","5","Métricas de projeto","2","5","40.0"
"11","A Tool‐Based Perspective on Software Code Maintainability Metrics: A Systematic Literature Review","A Tool-Based Perspective on Software Code Maintainability Metrics A Systematic Literature Review.pdf","7","Identificação, organização e validação de métricas de software","2","7","28.6"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","2","Nivelamento e revisão de fundamentos de engenharia de software","2","6","33.3"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","3","Métricas de produto","2","5","40.0"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","4","Métricas de processo","2","5","40.0"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","5","Métricas de projeto","2","5","40.0"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","6","Processos e técnicas de medição","2","5","40.0"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","7","Identificação, organização e validação de métricas de software","2","7","28.6"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","8","Prova e atividades avaliativas","2","6","33.3"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","13","Estratégias de experimentação","2","4","50.0"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","14","Processo de experimentação","2","4","50.0"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","15","Planejamento de experimento","2","5","40.0"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","16","Execução de experimento","2","5","40.0"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","17","Análise de resultados de experimentos","2","6","33.3"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","18","Apresentação de resultados experimentais","2","6","33.3"
"12","A Large-Scale Empirical Study on Self-Admitted Technical Debt","A large-scale empirical study on self-admitted technical debt.pdf","19","Provas e atividades avaliativas","2","6","33.3"
"13","A machine learning approach to vulnerability detection combining software metrics and topic modelling: Evidence from smart contracts","A machine learning approach to vulnerability detection combining software.pdf","3","Métricas de produto","2","5","40.0"
"13","A machine learning approach to vulnerability detection combining software metrics and topic modelling: Evidence from smart contracts","A machine learning approach to vulnerability detection combining software.pdf","4","Métricas de processo","2","5","40.0"
"13","A machine learning approach to vulnerability detection combining software metrics and topic modelling: Evidence from smart contracts","A machine learning approach to vulnerability detection combining software.pdf","5","Métricas de projeto","2","5","40.0"
"13","A machine learning approach to vulnerability detection combining software metrics and topic modelling: Evidence from smart contracts","A machine learning approach to vulnerability detection combining software.pdf","7","Identificação, organização e validação de métricas de software","2","7","28.6"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","2","Nivelamento e revisão de fundamentos de engenharia de software","2","6","33.3"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","3","Métricas de produto","2","5","40.0"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","4","Métricas de processo","2","5","40.0"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","5","Métricas de projeto","2","5","40.0"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","6","Processos e técnicas de medição","2","5","40.0"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","7","Identificação, organização e validação de métricas de software","2","7","28.6"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","8","Prova e atividades avaliativas","2","6","33.3"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","13","Estratégias de experimentação","2","4","50.0"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","14","Processo de experimentação","2","4","50.0"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","15","Planejamento de experimento","2","5","40.0"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","16","Execução de experimento","2","5","40.0"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","17","Análise de resultados de experimentos","2","6","33.3"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","18","Apresentação de resultados experimentais","2","6","33.3"
"15","ADmM: Anomaly Detection for Microservice Systems with Incomplete Metrics","ADmM Anomaly Detection for Microservice Systems withIncomplete Metrics.pdf","19","Provas e atividades avaliativas","2","6","33.3"
"16","Microsoft Word - FinalPrint07.doc","ARTIGO_Definição de um processo de medição de software baseado em Seis Sigma e CMMI.pdf","4","Métricas de processo","2","5","40.0"
"16","Microsoft Word - FinalPrint07.doc","ARTIGO_Definição de um processo de medição de software baseado em Seis Sigma e CMMI.pdf","14","Processo de experimentação","2","4","50.0"
"18","A study of component based software system metrics","A_study_of_component_based_software_system_metrics.pdf","3","Métricas de produto","2","5","40.0"
"18","A study of component based software system metrics","A_study_of_component_based_software_system_metrics.pdf","4","Métricas de processo","2","5","40.0"
"18","A study of component based software system metrics","A_study_of_component_based_software_system_metrics.pdf","5","Métricas de projeto","2","5","40.0"
"18","A study of component based software system metrics","A_study_of_component_based_software_system_metrics.pdf","7","Identificação, organização e validação de métricas de software","2","7","28.6"
"2","Technical Report, Simula Research Laboratory, number 2011-13","A Hitchhiker's guide to statistical tests for assessing randomized algorithms in software engineering.pdf","2","Nivelamento e revisão de fundamentos de engenharia de software","2","6","33.3"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","2","Nivelamento e revisão de fundamentos de engenharia de software","2","6","33.3"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","6","Processos e técnicas de medição","2","5","40.0"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","8","Prova e atividades avaliativas","2","6","33.3"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","9","Distribuições de probabilidade","2","5","40.0"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","10","Testes de hipótese","2","5","40.0"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","11","Análise multivariada","2","4","50.0"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","12","Atividades avaliativas","2","5","40.0"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","13","Estratégias de experimentação","2","4","50.0"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","14","Processo de experimentação","2","4","50.0"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","15","Planejamento de experimento","2","5","40.0"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","16","Execução de experimento","2","5","40.0"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","18","Apresentação de resultados experimentais","2","6","33.3"
"20","An Empirical Validation of Cognitive Complexity as a Measure of Source Code Understandability","An Empirical Validation of Cognitive Complexity as a Measure.pdf","19","Provas e atividades avaliativas","2","6","33.3"
"21","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","2","Nivelamento e revisão de fundamentos de engenharia de software","2","6","33.3"
"21","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","9","Distribuições de probabilidade","2","5","40.0"
"21","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","10","Testes de hipótese","2","5","40.0"
"21","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","11","Análise multivariada","2","4","50.0"
"21","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","12","Atividades avaliativas","2","5","40.0"
"21","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","13","Estratégias de experimentação","2","4","50.0"
"21","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","14","Processo de experimentação","2","4","50.0"
"21","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","18","Apresentação de resultados experimentais","2","6","33.3"
"21","An External Replication on the Effects of Test-driven","An External Replication on the Effects of Test-driven Development Using a Multi-site Blind Analysis Approach.pdf","19","Provas e atividades avaliativas","2","6","33.3"
"22","An Empirical Investigation of Factors Causing Scope Creep in Agile Global Software Development Context: A Conceptual Model for Project Managers","An_Empirical_Investigation_of_Factors_Causing_Scop.pdf","2","Nivelamento e revisão de fundamentos de engenharia de software","2","6","33.3"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","2","Nivelamento e revisão de fundamentos de engenharia de software","2","6","33.3"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","3","Métricas de produto","2","5","40.0"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","4","Métricas de processo","2","5","40.0"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","5","Métricas de projeto","2","5","40.0"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","6","Processos e técnicas de medição","2","5","40.0"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","7","Identificação, organização e validação de métricas de software","2","7","28.6"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","8","Prova e atividades avaliativas","2","6","33.3"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","13","Estratégias de experimentação","2","4","50.0"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","14","Processo de experimentação","2","4","50.0"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","15","Planejamento de experimento","2","5","40.0"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","16","Execução de experimento","2","5","40.0"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","17","Análise de resultados de experimentos","2","6","33.3"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","18","Apresentação de resultados experimentais","2","6","33.3"
"23","An´alise da Eficiˆencia do Uso de Recursos de M´aquina na","Analise da Eficiência do Uso de Recursos de Máquina (TCC_GABRIEL_AUGUSTO_SOUZA_BORGES).pdf","19","Provas e atividades avaliativas","2","6","33.3"
"24","Application of Statistical Methods in Software Engineering: Theory and Practice","Application of Statistical Methods in Software Engineering Theory and Practice.pdf","9","Distribuições de probabilidade","2","5","40.0"
"24","Application of Statistical Methods in Software Engineering: Theory and Practice","Application of Statistical Methods in Software Engineering Theory and Practice.pdf","10","Testes de hipótese","2","5","40.0"
